Registering Defuzzer!
Loaded thutessentials config file thutessentials/thutessentials-common.toml
Reading thutessentials/thutessentials-common.toml
thutessentials/thutessentials-common.toml config belongs to us!
Reading thutessentials/thutessentials-common.toml
Server Started
Starting Loading Land
Finished Loading Land and Teams
13:06:35.784277333 minecraft:overworld, BlockPos{x=5, y=5, z=-15}: log-in c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
Login detected, adding player to logins for defuzz.
13:06:43.25397702 minecraft:overworld, BlockPos{x=5, y=5, z=-15}: break Block{minecraft:grass} at BlockPos{x=89, y=91, z=-237} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:12.353713974 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: open class com.minecolonies.api.inventory.container.ContainerRack c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:21.675794593 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: slot_take class com.minecolonies.api.inventory.container.ContainerRack: 37 cobblestone Cobblestone, [] c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:22.770793975 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: slot_place class com.minecolonies.api.inventory.container.ContainerRack: 37 cobblestone Cobblestone, Inventory c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:23.189945563 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: slot_take class com.minecolonies.api.inventory.container.ContainerRack: 26 dirt Dirt, [] c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:23.879982873 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: slot_swap class com.minecolonies.api.inventory.container.ContainerRack: 45 dirt Dirt <-> 19 dirt Dirt, Inventory c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:38.397249148 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=70, y=91, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:39.290106255 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=70, y=92, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:40.240238401 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=70, y=93, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:41.030100934 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=70, y=94, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:41.840262278 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=70, y=95, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:44.090430769 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=92, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:44.948754782 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=93, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:45.990749131 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=94, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:46.810508717 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=95, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:47.608930825 minecraft:overworld, BlockPos{x=4, y=6, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=96, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:48.390645767 minecraft:overworld, BlockPos{x=4, y=6, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=97, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:49.49074743 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=64, y=91, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:07:58.85053557 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=81, y=91, z=-212} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:01.531436668 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=81, y=91, z=-207} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:05.282270818 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=81, y=91, z=-202} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:06.882057668 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=81, y=91, z=-201} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:07.621882042 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=82, y=91, z=-201} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:12.892134872 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=76, y=91, z=-212} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:14.395107579 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:grass} at BlockPos{x=77, y=91, z=-211} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:20.238484551 minecraft:overworld, BlockPos{x=6, y=5, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=103, y=95, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:21.04211245 minecraft:overworld, BlockPos{x=6, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=103, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:22.020238998 minecraft:overworld, BlockPos{x=6, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=103, y=97, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:22.792453847 minecraft:overworld, BlockPos{x=6, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=103, y=98, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:24.04243775 minecraft:overworld, BlockPos{x=6, y=5, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=103, y=94, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:33.48422849 minecraft:overworld, BlockPos{x=3, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=53, y=97, z=-182} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:34.282519176 minecraft:overworld, BlockPos{x=3, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=53, y=98, z=-182} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:35.282740603 minecraft:overworld, BlockPos{x=3, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=53, y=99, z=-182} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:36.082586895 minecraft:overworld, BlockPos{x=3, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=53, y=100, z=-182} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:37.142591914 minecraft:overworld, BlockPos{x=3, y=6, z=-12}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=53, y=96, z=-182} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:44.732483333 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=102, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:45.733689595 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=103, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:46.733483525 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=104, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:47.535176157 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=105, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:48.642714559 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=106, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:49.589459077 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=101, z=-198} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:51.482294049 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=102, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:52.280480143 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=103, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:53.181818283 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=104, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:53.991482556 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=105, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:54.798437729 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=22, y=106, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:56.440910661 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=103, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:57.39388496 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=102, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:58.2886907 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=104, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:59.085770424 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=105, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:08:59.926562459 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=106, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:00.684401423 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=25, y=107, z=-202} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:02.78558126 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=22, y=103, z=-206} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:03.739590481 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=22, y=102, z=-206} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:04.63734844 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=22, y=104, z=-206} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:05.459254435 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=22, y=105, z=-206} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:06.249763857 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=22, y=106, z=-206} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:07.927292583 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=103, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
